manufacturer,model
"AIRBUS","A-220-100"
"AIRBUS","A-220-100 ACJ TwoTwenty"
"AIRBUS","A-220-300"
"AIRBUS","A-300B2"
"AIRBUS","A-300B2-1"
"AIRBUS","A-300B2-100"
"AIRBUS","A-300B2-200"
"AIRBUS","A-300B2K-3"
"AIRBUS","A-300B4-100"
"AIRBUS","A-300B4-2"
"AIRBUS","A-300B4-200"
"AIRBUS","A-300B4-600"
"AIRBUS","A-300C4-200"
"AIRBUS","A-300C4-600"
"AIRBUS","A-300F4-200"
"AIRBUS","A-300F4-600"
"AIRBUS","A-300ST"
"AIRBUS","A-310"
"AIRBUS","A-318"
"AIRBUS","A-318 Elite"
"AIRBUS","A-319"
"AIRBUS","A-319neo"
"AIRBUS","A-320"
"AIRBUS","A-320 Prestige"
"AIRBUS","A-320neo"
"AIRBUS","A-321"
"AIRBUS","A-321neo"
"AIRBUS","A-330-200"
"AIRBUS","A-330-200 Prestige"
"AIRBUS","A-330-200 Voyager"
"AIRBUS","A-330-300"
"AIRBUS","A-330-700"
"AIRBUS","A-330-800"
"AIRBUS","A-330-900"
"AIRBUS","A-340-200"
"AIRBUS","A-340-200 Prestige"
"AIRBUS","A-340-300"
"AIRBUS","A-340-300 Prestige"
"AIRBUS","A-340-500"
"AIRBUS","A-340-500 Prestige"
"AIRBUS","A-340-600"
"AIRBUS","A-340-600 Prestige"
"AIRBUS","A-350-1000 XWB"
"AIRBUS","A-350-1000 XWB Prestige"
"AIRBUS","A-350-900 XWB"
"AIRBUS","A-350-900 XWB Prestige"
"AIRBUS","A-380-800"
"AIRBUS","A-380-800 Prestige"
"AIRBUS","A-400M Atlas"
"AIRBUS","A-400M Grizzly"
"AIRBUS","ACJ-319neo"
"AIRBUS","ACJ-320neo"
"AIRBUS","ACJ-330-800"
"AIRBUS","ACJ-330-900"
"AIRBUS","ACJ-350-1000"
"AIRBUS","ACJ-350-900"
"AIRBUS","Amazonas"
"AIRBUS","Atlas"
"AIRBUS","C-212"
"AIRBUS","C-295"
"AIRBUS","C-295 Persuader"
"AIRBUS","CC-150"
"AIRBUS","CN-235"
"AIRBUS","CN-235 Persuader"
"AIRBUS","Elite"
"AIRBUS","Grizzly"
"AIRBUS","HC-144 Ocean Sentry"
"AIRBUS","KC-30"
"AIRBUS","Ocean Sentry"
"AIRBUS","SC-105 Amazonas"
"AIRBUS","VC-1 ACJ"
"AIRBUS","Voyager"
"BOEING","40"
"BOEING","451"
"BOEING","707-100"
"BOEING","707-300"
"BOEING","717-200"
"BOEING","720"
"BOEING","727-100"
"BOEING","727-100RE"
"BOEING","727-200"
"BOEING","727-200RE"
"BOEING","737"
"BOEING","737 MAX 10"
"BOEING","737 MAX 8200"
"BOEING","737-10"
"BOEING","737-200"
"BOEING","737-300"
"BOEING","737-400"
"BOEING","737-500"
"BOEING","737-600"
"BOEING","737-7"
"BOEING","737-700"
"BOEING","737-700 AEWC"
"BOEING","737-8"
"BOEING","737-800"
"BOEING","737-800 Poseidon"
"BOEING","737-8200"
"BOEING","737-9"
"BOEING","737-900"
"BOEING","737-900 BBJ3"
"BOEING","747-100"
"BOEING","747-200"
"BOEING","747-300"
"BOEING","747-400"
"BOEING","747-400LCF"
"BOEING","747-8"
"BOEING","747-8 BBJ"
"BOEING","747SP"
"BOEING","747SR"
"BOEING","75"
"BOEING","757-200"
"BOEING","757-300"
"BOEING","767-200"
