iata_code,name,city
"AAD","Adado Airport","Adado"
"AAG","Arapoti Airport","Arapoti"
"AAI","Arraias Airport","Arraias"
"AAK","Buariki Airport","Buariki"
"AAL","Aalborg Airport","Aalborg"
"AAO","Anaco Airport","Anaco"
"AAQ","Anapa Vityazevo Airport","Anapa"
"AAT","Altay Air Base","Altay"
"AAX","Romeu Zema Airport","Araxá"
"AAZ","Quezaltenango Airport","Quezaltenango"
"ABB","Asaba International Airport","Asaba"
"ABE","Lehigh Valley International Airport","Allentown"
"ABF","Abaiang Airport","Abaiang"
"ABH","Alpha Airport","Alpha"
"ABI","Abilene Regional Airport","Abilene"
"ABJ","Port Bouet Airport","Abidjan"
"ABK","Kabri Dehar Airport","Kabri Dehar"
"ABO","Aboisso Airport","Aboisso"
"ABP","Atkamba Airport","Atkamba Mission"
"ABQ","Albuquerque International Sunport","Albuquerque"
"ABV","Nnamdi Azikiwe International Airport","Abuja"
"ACC","Kotoka International Airport","Accra"
"ACK","Nantucket Memorial Airport","Nantucket"
"ACL","Aguaclara Airport","Aguaclara"
"ACM","Arica Airport","Arica"
"ACS","Achinsk Airport","Achinsk"
"ACV","California Redwood Coast-Humboldt County Airport","Arcata/Eureka"
"ACY","Atlantic City International Airport","Atlantic City"
"ADA","Adana Airport","Adana"
"ADB","Adnan Menderes International Airport","İzmir"
"ADC","Andakombe Airport","Andekombe"
"ADD","Addis Ababa Bole International Airport","Addis Ababa"
"ADH","Aldan Airport","Aldan"
"ADI","Arandis Airport","Arandis"
"ADJ","Amman-Marka International Airport","Amman"
"ADK","Adak Airport","Adak Island"
"ADM","Ardmore Municipal Airport","Ardmore"
"ADN","Andes Airport","Andes"
"ADR","Robert F Swinnie Airport","Andrews"
"ADT","Ada Regional Airport","Ada"
"ADU","Ardabil Airport","Ardabil"
"ADX","RAF Leuchars","St. Andrews"
"ADY","Alldays Airport","Alldays"
"AEA","Abemama Atoll Airport","Abemama Atoll"
"AEB","Baise Youjiang Airport","Baise"
"AEG","Aek Godang Airport","Padang Sidempuan-Sumatra Island"
"AEK","Aseki Airport","Aseki"
"AEQ","Ar Horqin Airport","Chifeng"
"AER","Sochi International Airport","Sochi"
"AES","Ålesund Airport","Ålesund"
"AET","Allakaket Airport","Allakaket"
"AFD","Port Alfred Airport","Port Alfred"
"AFL","Piloto Osvaldo Marques Dias Airport","Alta Floresta"
"AFN","Jaffrey Airport Silver Ranch Airport","Jaffrey"
"AFO","Afton Municipal Airport","Afton"
"AFS","Sugraly Airport","Zarafshan"
"AGF","Agen-La Garenne Airport","Agen/La Garenne"
"AGG","Angoram Airport","Angoram"
"AGH","Ängelholm-Helsingborg Airport","Ängelholm"
"AGJ","Aguni Airport","Aguni"
"AGK","Kagua Airport","Kagua"
"AGS","Augusta Regional At Bush Field","Augusta"
"AGT","Guarani International Airport","Ciudad del Este"
"AGW","Agnew Airport","Agnew"
"AHC","Amedee Army Air Field","Herlong"
"AHD","Ardmore Downtown Executive Airport","Ardmore"
"AHE","Ahe Airport","Ahe Atoll"
"AHH","Amery Municipal Airport","Amery"
"AHI","Amahai Airport","Amahai-Seram Island"
"AHJ","Hongyuan Airport","Aba"
"AHL","Aishalton Airport","Aishalton"
"AHM","Ashland Municipal Sumner Parker Field","Ashland"
"AHO","Alghero-Fertilia Airport","Alghero"
"AHS","Ahuas Airport","Ahuas"
"AHZ","Altiport L Alpe d Huez - Henri GIRAUD","L Alpe d Huez"
"AIE","Aiome Airport","Aiome"
"AIF","Marcelo Pires Halzhausen Airport","Assis"
"AIG","Yalinga Airport","Yalinga"
"AIH","Aiambak Airport","Aiambak"
"AIK","Aiken Regional Airport","Aiken"
"AIL","Alligandi Airport","Alligandi"
"AIP","Adampur Airport","Adampur"
"AIS","Arorae Island Airport","Arorae Island"
"AIU","Enua Airport","Atiu Island"
